customer_id,total_spent,total_orders,total_units,first_purchase,last_purchase
14646.0,279489.02,77,196719,2010-12-20 10:09:00,2011-12-08 12:36:00
18102.0,256438.49,62,64122,2010-07-12 16:42:00,2011-11-28 12:55:00
17450.0,187482.17,55,69029,2010-07-12 09:23:00,2011-12-07 09:04:00
14911.0,132572.62,248,77180,2010-01-12 14:05:00,2011-12-10 14:08:00
12415.0,123725.45,26,77242,2011-01-04 14:28:00,2011-11-15 14:22:00
14156.0,113384.14,66,57025,2010-02-12 17:08:00,2011-12-10 09:29:00
17511.0,88125.38,46,63012,2010-01-12 10:19:00,2011-12-04 13:24:00
16684.0,65892.08,31,49390,2010-12-16 17:34:00,2011-11-28 15:35:00
13694.0,62653.1,60,61803,2010-01-12 12:12:00,2011-11-14 12:57:00
15311.0,59419.34,118,37720,2010-01-12 09:41:00,2011-12-10 12:24:00
13089.0,57385.88,118,30787,2010-05-12 10:27:00,2011-12-04 11:01:00
14096.0,57120.909999999996,34,16335,2011-02-09 15:45:00,2011-11-28 15:54:00
15061.0,54228.74,55,28590,2010-02-12 15:19:00,2011-12-05 10:23:00
17949.0,52750.84,52,27571,2010-03-12 13:12:00,2011-12-07 12:43:00
15769.0,51823.72,29,27660,2010-03-12 15:16:00,2011-10-30 10:44:00
16029.0,50992.61,76,32148,2010-01-12 09:57:00,2011-11-10 11:15:00
14298.0,50862.44,45,58021,2010-12-14 12:59:00,2011-10-18 12:17:00
14088.0,50415.49,14,12593,2011-01-21 13:07:00,2011-11-29 16:16:00
17841.0,40340.78,169,22865,2010-01-12 14:30:00,2011-12-10 12:47:00
13798.0,36351.42,63,23514,2010-02-12 17:24:00,2011-12-09 12:24:00
16422.0,33805.69,75,32592,2010-05-12 15:35:00,2011-12-07 11:07:00
12931.0,33462.81,20,23377,2010-12-17 09:45:00,2011-11-18 12:39:00
16013.0,33366.25,54,13845,2010-03-12 13:09:00,2011-12-08 12:18:00
15838.0,33350.76,21,9007,2010-02-12 14:23:00,2011-11-28 14:00:00
17389.0,31300.079999999998,43,7430,2011-01-08 15:39:00,2011-12-01 15:48:00
17404.0,30300.82,18,32324,2010-12-14 13:27:00,2011-12-05 12:36:00
12748.0,29072.1,224,24210,2010-01-12 12:48:00,2011-12-05 18:58:00
13098.0,28658.88,41,15911,2011-01-12 08:26:00,2011-12-04 11:59:00
13081.0,27964.48,21,19021,2010-03-12 17:20:00,2011-11-28 10:54:00
13408.0,27487.41,81,16119,2010-01-12 10:39:00,2011-12-07 16:37:00
14680.0,26932.34,23,12474,2010-03-12 12:05:00,2011-11-14 16:59:00
17857.0,26763.34,25,19086,2010-09-12 11:35:00,2011-11-22 15:22:00
16333.0,26626.8,22,32184,2011-01-04 12:19:00,2011-08-08 11:56:00
13777.0,25748.35,41,12804,2010-01-12 16:01:00,2011-11-30 14:46:00
15749.0,21535.9,4,9014,2011-04-18 13:08:00,2011-11-01 12:57:00
16210.0,21086.3,18,7559,2010-01-12 12:27:00,2011-11-30 10:54:00
12753.0,21024.01,11,11250,2010-12-12 11:44:00,2011-11-17 10:52:00
17381.0,20272.43,30,25646,2010-02-12 12:58:00,2011-12-08 13:27:00
17675.0,20098.1,41,8278,2010-07-12 13:22:00,2011-12-07 12:24:00
15039.0,19786.44,52,9191,2010-06-12 11:26:00,2011-11-30 11:31:00
12731.0,18793.41,14,8366,2010-10-12 10:56:00,2011-11-16 11:59:00
