product_name,product_revenue,units_sold,order_count
DOTCOM POSTAGE,206245.48,1707,710
REGENCY CAKESTAND 3 TIER,164762.19,12980,2172
WHITE HANGING HEART T-LIGHT HOLDER,99846.98,39122,2313
PARTY BUNTING,98302.98,18022,1706
JUMBO BAG RED RETROSPOT,92356.03,47363,2135
mailout,83786.1,44082,2173
RABBIT NIGHT LIGHT,66756.59,30646,1025
POSTAGE,66230.64,6353,1254
PAPER CHAIN KIT 50'S CHRISTMAS ,63791.94,18902,1170
ASSORTED COLOUR BIRD ORNAMENT,58959.729999999996,36221,1468
CHILLI LIGHTS,53768.06,10343,673
PICNIC BASKET WICKER SMALL,51041.37,1873,478
SMALL POPCORN HOLDER,50987.47,56450,1442
SPOTTY BUNTING,42700.02,8534,1159
JUMBO BAG PINK POLKADOT,41619.66,21009,1231
BLACK RECORD COVER FRAME,40596.96,11616,381
SET OF 3 CAKE TINS PANTRY DESIGN ,37413.44,7286,1462
DOORMAT KEEP CALM AND COME IN,36565.39,5264,739
JAM MAKING SET WITH JARS,36116.09,8470,1220
WOOD BLACK BOARD ANT WHITE FINISH,35859.27,5996,696
LUNCH BAG RED RETROSPOT,35187.31,18979,1608
HOT WATER BOTTLE TEA AND SYMPATHY,32692.49,5591,652
VICTORIAN GLASS HANGING T-LIGHT,32549.57,23854,1062
JUMBO BAG STRAWBERRY,32354.04,16081,840
CHOCOLATE HOT WATER BOTTLE,32317.3,5898,866
PAPER CHAIN KIT VINTAGE CHRISTMAS,31941.89,10253,832
HEART OF WICKER SMALL,31899.850000000002,17791,1214
SET OF 3 REGENCY CAKE TINS,30756.45,6267,910
ALARM CLOCK BAKELIKE RED ,30423.62,7741,1081
JUMBO STORAGE BAG SUKI,30167.79,13320,1201
HEART OF WICKER LARGE,29949.91,9830,944
JUMBO BAG APPLES,29166.4,14197,999
CHARLOTTE BAG SUKI DESIGN,29164.36,18003,895
HOT WATER BOTTLE KEEP CALM,28424.95,5745,790
JUMBO SHOPPER VINTAGE RED PAISLEY,28012.48,12248,1187
NATURAL SLATE HEART CHALKBOARD ,27995.36,9120,1266
ROSES REGENCY TEACUP AND SAUCER ,27944.920000000002,9441,1120
DOORMAT RED RETROSPOT,27621.32,4027,704
JUMBO  BAG BAROQUE BLACK WHITE,27581.32,13641,947
ALARM CLOCK BAKELIKE GREEN,27039.03,6384,1003
JUMBO BAG ALPHABET,26814.15,12785,920
RED  HARMONICA IN BOX ,26247.83,22066,671
ROTATING SILVER ANGELS T-LIGHT HLDR,26142.23,100,453
RECIPE BOX PANTRY YELLOW DESIGN,25819.55,8146,1164
SPACEBOY LUNCH BOX ,25647.77,14206,908
ANTIQUE SILVER TEA GLASS ETCHED,25516.67,18911,932
DOORMAT UNION FLAG,25512.1,3750,623
JAM MAKING SET PRINTED,25235.23,16081,1174
PLEASE ONE PERSON METAL SIGN,25120.88,12576,862
REGENCY TEAPOT ROSES ,24482.53,2718,429
SET OF 6 SPICE TINS PANTRY DESIGN,24365.66,5928,848
ROUND SNACK BOXES SET OF4 WOODLAND ,24317.670000000002,8519,749
VINTAGE UNION JACK BUNTING,24304.83,2331,483
DOORMAT NEW ENGLAND,24261.04,3826,602
SCOTTIE DOG HOT WATER BOTTLE,23965.39,4537,778
BAKING SET 9 PIECE RETROSPOT ,23928.62,4880,961
RED TOADSTOOL LED NIGHT LIGHT,23651.68,13823,861
CREAM HEART CARD HOLDER,23431.87,8283,529
EDWARDIAN PARASOL NATURAL,23424.32,4024,547
JUMBO BAG 50'S CHRISTMAS ,23328.79,10044,723
GIN + TONIC DIET METAL SIGN,23298.74,10177,817
RED HANGING HEART T-LIGHT HOLDER,23075.79,7825,754
VINTAGE UNION JACK MEMOBOARD,22970.29,3268,225
SET OF TEA COFFEE SUGAR TINS PANTRY,22968.62,4688,505
JUMBO BAG PINK VINTAGE PAISLEY,22794.07,10785,877
RETROSPOT TEA SET CERAMIC 11 PC ,22717.51,4559,983
JUMBO BAG OWLS,22599.53,9159,674
PAPER BUNTING RETROSPOT,22594.56,7516,806
WOODEN PICTURE FRAME WHITE FINISH,22531.71,8773,1118
GREEN REGENCY TEACUP AND SAUCER,22433.25,7161,1057
LUNCH BAG SUKI  DESIGN ,22318.64,12405,1306
PINK 3 PIECE POLKADOT CUTLERY SET,22285.54,5395,549
CREAM SWEETHEART MINI CHEST,22248.15,1751,544
LUNCH BAG  BLACK SKULL.,22219.01,12112,1295
DOORMAT HEARTS,22114.72,3418,595
RED WOOLLY HOTTIE WHITE HEART.,21888.53,4660,438
JUMBO BAG WOODLAND ANIMALS,21665.96,9533,872
RED RETROSPOT CHARLOTTE BAG,21606.48,17548,1050
DOORMAT FANCY FONT HOME SWEET HOME,21561.64,3241,505
LUNCH BAG CARS BLUE,21423.13,11603,1173
DOLLY GIRL LUNCH BOX,21156.489999999998,11518,860
PACK OF 72 RETROSPOT CAKE CASES,21059.72,36039,1334
WOODEN FRAME ANTIQUE WHITE ,20941.44,6572,992
LUNCH BAG APPLE DESIGN,20814.83,12124,1049
COOK WITH WINE METAL SIGN ,20796.54,10153,735
JUMBO BAG SCANDINAVIAN PAISLEY,20670.02,10205,816
ALARM CLOCK BAKELIKE PINK,20548.4,5323,799
LUNCH BOX I LOVE LONDON,20272.7,11201,725
WHITE SKULL HOT WATER BOTTLE ,19958.52,4486,504
DOORMAT FAIRY CAKE,19333.91,2886,369
RED 3 PIECE RETROSPOT CUTLERY SET,18971.39,4544,440
RED RETROSPOT CAKE STAND,18884.75,1628,582
HOMEMADE JAM SCENTED CANDLES,18602.75,12392,654
GUMBALL COAT RACK,18552.97,7877,714
PICNIC BASKET WICKER LARGE,18448.96,1467,472
LUNCH BAG WOODLAND,18188.48,9852,1037
SET/5 RED RETROSPOT LID GLASS BOWLS,18089.35,6265,914
ASSORTED COLOURS SILK FAN,18064.16,22552,523
